,index,split
0,0,train
1,1,train
2,2,train
3,3,train
4,4,train
5,5,train
6,6,train
7,7,test
8,8,test
9,9,train
10,10,train
11,11,train
12,12,train
13,13,train
14,14,train
15,15,train
16,16,train
17,17,train
18,18,train
19,19,train
20,20,train
21,21,train
22,22,train
23,23,train
24,24,train
25,25,train
26,26,test
27,27,train
28,28,train
29,29,train
30,30,train
31,31,train
32,32,train
33,33,train
34,34,train
35,35,train
36,36,train
37,37,train
38,38,train
39,39,train
40,40,train
41,41,train
42,42,train
43,43,train
44,44,train
45,45,train
46,46,train
47,47,train
48,48,train
49,49,train
50,50,test
51,51,train
52,52,train
53,53,test
54,54,train
55,55,train
56,56,train
57,57,train
58,58,train
59,59,train
60,60,train
61,61,train
62,62,train
63,63,train
64,64,train
65,65,train
66,66,train
67,67,test
68,68,train
69,69,train
70,70,train
71,71,train
72,72,train
73,73,train
74,74,test
75,75,test
76,76,train
77,77,train
78,78,train
79,79,train
80,80,train
81,81,train
82,82,train
83,83,train
84,84,train
85,85,train
86,86,train
87,87,train
88,88,test
89,89,test
90,90,validate
91,91,validate
92,92,validate
93,93,validate
94,94,test
95,95,test
96,96,test
97,97,test
98,98,test
99,99,test
100,100,test
101,101,test
102,102,test
103,103,test
104,104,test
105,105,test
106,106,test
107,107,test
108,108,test
109,109,test
110,110,test
111,111,test
112,112,test
113,113,test
114,114,test
115,115,test
116,116,test
117,117,test
118,118,test
119,119,test
120,120,test
121,121,test
122,122,test
123,123,test
124,124,test
125,125,test
126,126,test
127,127,test
128,128,test
129,129,test
130,130,test
131,131,test
132,132,test
133,133,test
134,134,test
135,135,test
136,136,test
137,137,test
138,138,test
139,139,test
140,140,test
141,141,train
142,142,train
143,143,train
144,144,train
145,145,test
146,146,test
147,147,test
148,148,test
149,149,train
150,150,train
151,151,train
152,152,train
153,153,train
154,154,train
155,155,train
156,156,train
157,157,train
158,158,train
159,159,validate
160,160,validate
161,161,validate
162,162,validate
163,163,validate
164,164,validate
165,165,validate
166,166,test
167,167,test
168,168,test
169,169,test
170,170,train
171,171,train
172,172,train
173,173,train
174,174,test
175,175,test
176,176,train
177,177,train
178,178,train
179,179,train
180,180,train
181,181,train
182,182,train
183,183,validate
184,184,train
185,185,test
186,186,test
187,187,test
188,188,test
189,189,test
190,190,test
191,191,test
192,192,train
193,193,train
194,194,train
195,195,train
196,196,train
197,197,train
198,198,train
199,199,train
200,200,train
201,201,train
202,202,test
203,203,test
204,204,test
205,205,train
206,206,train
207,207,test
208,208,train
209,209,test
210,210,test
211,211,test
212,212,test
213,213,test
214,214,test
215,215,train
216,216,train
217,217,train
218,218,test
219,219,test
220,220,train
221,221,train
222,222,validate
223,223,validate
224,224,train
225,225,train
226,226,train
227,227,train
228,228,train
229,229,train
230,230,train
231,231,train
232,232,train
233,233,train
234,234,train
235,235,train
236,236,train
237,237,train
238,238,train
239,239,train
240,240,train
241,241,train
242,242,test
243,243,test
244,244,test
245,245,train
246,246,train
247,247,train
248,248,train
249,249,train
250,250,train
251,251,train
252,252,train
253,253,train
254,254,train
255,255,train
256,256,train
257,257,train
258,258,train
259,259,train
260,260,train
261,261,train
262,262,train
263,263,train
264,264,train
265,265,train
266,266,train
267,267,train
268,268,train
269,269,train
270,270,train
271,271,test
272,272,train
273,273,train
274,274,test
275,275,test
276,276,test
277,277,test
278,278,test
279,279,test
280,280,test
281,281,test
282,282,train
283,283,train
284,284,train
285,285,train
286,286,train
287,287,train
288,288,train
289,289,train
290,290,train
291,291,test
292,292,test
293,293,test
294,294,train
295,295,train
296,296,train
297,297,train
298,298,train
299,299,train
300,300,train
301,301,train
302,302,train
303,303,train
304,304,train
305,305,train
306,306,train
307,307,train
308,308,train
309,309,train
310,310,train
311,311,train
312,312,train
313,313,train
314,314,train
315,315,train
316,316,test
317,317,validate
318,318,validate
319,319,validate
320,320,validate
321,321,validate
322,322,validate
323,323,validate
324,324,validate
325,325,validate
326,326,validate
327,327,validate
328,328,validate
329,329,validate
330,330,validate
331,331,validate
332,332,validate
333,333,validate
334,334,validate
335,335,validate
336,336,validate
337,337,validate
338,338,validate
339,339,validate
340,340,validate
341,341,validate
342,342,validate
343,343,validate
344,344,validate
345,345,validate
346,346,validate
347,347,validate
348,348,test
349,349,test
350,350,test
351,351,test
352,352,test
353,353,test
354,354,test
355,355,test
356,356,test
357,357,test
358,358,test
359,359,test
360,360,test
361,361,test
362,362,test
363,363,test
364,364,test
365,365,test
366,366,test
367,367,test
368,368,test
369,369,test
370,370,train
371,371,train
372,372,train
373,373,train
374,374,train
375,375,train
376,376,test
377,377,train
378,378,train
379,379,validate
380,380,validate
381,381,validate
382,382,validate
383,383,validate
384,384,validate
385,385,validate
386,386,validate
387,387,train
388,388,test
389,389,test
390,390,test
391,391,test
392,392,test
393,393,test
394,394,test
395,395,train
396,396,test
397,397,test
398,398,train
399,399,train
400,400,train
401,401,train
402,402,train
403,403,train
404,404,train
405,405,train
406,406,validate
407,407,validate
408,408,validate
409,409,train
410,410,train
411,411,train
412,412,train
413,413,train
414,414,train
415,415,train
416,416,test
417,417,test
418,418,test
419,419,validate
420,420,validate
421,421,test
422,422,test
423,423,test
424,424,test
425,425,test
426,426,test
427,427,train
428,428,train
429,429,train
430,430,train
431,431,train
432,432,train
433,433,train
434,434,train
435,435,train
436,436,train
437,437,train
438,438,train
439,439,train
440,440,test
441,441,test
442,442,test
443,443,test
444,444,train
445,445,train
446,446,train
447,447,train
448,448,train
449,449,train
450,450,train
451,451,train
452,452,train
453,453,train
454,454,train
455,455,train
456,456,train
457,457,test
458,458,test
459,459,test
460,460,test
461,461,train
462,462,validate
